leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel4_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel4_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_2 0.00000000 0.00000000 0.00000000 0.00000000
