leftArm	 a 	 d 	 alpha 	 offset
rightTriangle20 0.00000000 0.00000000 0.00000000 0.00000000
rightTriangle21 0.00000000 0.00000000 0.00000000 0.00000000
rightTriangle31 0.00000000 0.00000000 0.00000000 0.00000000

headSkin	 a 	 d 	 alpha 	 offset
headPlastic 0.00000000 0.00000000 0.00000000 0.00000000
headLeftPatch 0.00000000 0.00000000 0.00000000 0.00000000
headRightPatch 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle0 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle1 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle2 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle3 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle4 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle5 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle6 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle7 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle8 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle12 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle13 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle15 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle16 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle17 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle18 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle19 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle20 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle21 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle22 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle23 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle24 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle28 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle29 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle31 0.00000000 0.00000000 0.00000000 0.00000000

