leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.01500000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.11370000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll -0.01500000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.11370000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

torsoSkin	 x(a) 	 y(d) 	 z(alfa) 	 alfa(offset) 	 beta(-) 	 gama(-)
torsoTaxel2_8 -0.00372009 0.00537307 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel2_9 -0.00557901 0.00805798 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel2_11 -0.00186040 0.00268705 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel3_0 -0.00269574 0.00184475 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel3_1 0.00000138 -0.00000095 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel3_2 0.00269712 -0.00184570 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel3_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel3_4 0.00539327 -0.00369074 -0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel3_5 0.00808900 -0.00553549 0.00565702 0.00000000 0.00000000 0.00000000
torsoTaxel3_7 0.00269574 -0.00184475 0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel3_8 -0.00269712 0.00184570 0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel3_9 -0.00808824 0.00553497 0.00565852 0.00000000 0.00000000 0.00000000
torsoTaxel3_11 -0.00539327 0.00369074 0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel4_0 -0.00509006 0.00409529 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel4_1 -0.00763548 0.00614325 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel4_2 -0.00254542 0.00204796 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel4_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel4_4 0.00254542 -0.00204796 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel4_5 0.00763548 -0.00614325 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel4_7 0.00509006 -0.00409529 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel4_8 0.00254542 -0.00204796 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel4_9 0.00000000 0.00000000 0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel4_11 -0.00254542 0.00204796 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel5_0 0.00000000 0.00326651 0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel5_1 0.00000000 0.00980172 0.00565702 0.00000000 0.00000000 0.00000000
torsoTaxel5_2 0.00000000 0.00653520 -0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel5_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_4 0.00000000 0.00326819 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel5_5 0.00000000 0.00000168 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel5_7 0.00000000 -0.00326651 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel5_8 0.00000000 -0.00653520 0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel5_9 0.00000000 -0.00980080 0.00565852 0.00000000 0.00000000 0.00000000
torsoTaxel5_11 0.00000000 -0.00326819 0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel8_0 -0.00305186 0.00577635 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_1 -0.00457802 0.00866497 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel8_2 -0.00152616 0.00288862 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel8_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_4 0.00152616 -0.00288862 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel8_5 0.00457802 -0.00866497 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel8_7 0.00305186 -0.00577635 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel8_8 0.00152616 -0.00288862 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel8_9 0.00000000 0.00000000 0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel8_11 -0.00152616 0.00288862 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel9_0 -0.00073583 0.00318256 0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel9_1 -0.00220799 0.00954979 0.00565702 0.00000000 0.00000000 0.00000000
torsoTaxel9_2 -0.00147216 0.00636723 -0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel9_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_4 -0.00073621 0.00318419 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel9_5 -0.00000038 0.00000163 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel9_7 0.00073583 -0.00318256 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel9_8 0.00147216 -0.00636723 0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel9_9 0.00220778 -0.00954889 0.00565852 0.00000000 0.00000000 0.00000000
torsoTaxel9_11 0.00073621 -0.00318419 0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel10_0 0.00027732 -0.00325468 0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel10_1 -0.00000015 0.00000175 0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel10_2 -0.00027747 0.00325643 0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel10_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_4 -0.00055484 0.00651161 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel10_5 -0.00083216 0.00976629 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel10_7 -0.00027732 0.00325468 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel10_8 0.00027747 -0.00325643 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel10_9 0.00083209 -0.00976545 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel10_11 0.00055484 -0.00651161 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel11_0 0.00057707 -0.00650746 0.00000005 0.00000000 0.00000000 0.00000000
torsoTaxel11_1 0.00086564 -0.00976165 0.00566007 0.00000000 0.00000000 0.00000000
torsoTaxel11_2 0.00028857 -0.00325419 0.00566002 0.00000000 0.00000000 0.00000000
torsoTaxel11_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_4 -0.00028858 0.00325427 0.00565998 0.00000000 0.00000000 0.00000000
torsoTaxel11_5 -0.00086565 0.00976173 0.00565993 0.00000000 0.00000000 0.00000000
